Name;Energy;Fats;Carbs;Proteins;Fiber;Sugars;Water
Acerola;32;0.3;7.69;0.4;1.1;91.41;0.2
Acerola, succo;23;0.3;4.8;0.4;0.3;4.5;94.3
Aceto;19;0;0.27;0.04;0;0;94.47
Aceto balsamico;88;0;17.03;0.49;14.95;76.45;0.37
Aceto di mele;21;0;0.93;0;0;0.4;93.81
Aceto distillato;18;0;0.04;0;0;0.04;94.78
Acido tartarico (cremor tartaro);258;0;61.5;0;0.2;0;1.7
Acqua del rubinetto;0;0;0;0;0;0;99.9
Acqua di cocco;19;0.2;3.71;0.72;1.1;2.61;94.99
Acqua tonica;34;0;8.8;0;0;8.8;91.1
Acqua, in bottiglia;0;0;0;0;0;0;99.98
Aglio;149;0.5;33.06;6.36;2.1;1;58.58
Aglio in polvere;331;0.73;72.73;16.55;9;2.43;6.45
Agnello, carne cruda;125;4.19;0;20.52;0;74.44;1.08
Agnello, carne grassa, cotta;586;59.18;0;12.16;0;0;26.14
Agnello, carne grassa, cruda;665;70.61;0;6.65;0;22.54;0.36
Agnello, carne magra, cotta;271;18.01;0;25.51;0;55.82;1.06
Agnello, carne magra, cruda;243;18.66;0;17.54;0;63.17;0.92
Agnello, coscia e spalla, grassa, brasata;223;8.8;0;33.69;0;0;56.23
Agnello, coscia e spalla, grassa, grigliata;186;7.33;0;28.08;0;63.53;1.48
Albicocche;48;0.39;11.12;1.4;2;9.24;86.35
Albicocche sciroppate;63;0.05;16.49;0.53;1.6;14.89;82.56
Albicocche secche;320;0.62;82.89;4.9;7.5;4.09;61
Albicocche, congelate, zuccherate;98;0.1;25.1;0.7;2.2;73.3;0.8
Alce, carne cruda;111;1.45;0;22.95;0;74.38;1
Alga agar, essiccata;306;0.3;80.88;6.21;7.7;2.97;8.68
Alga spirulina;26;0.39;2.42;5.92;90.67;0.6;12
Alga spirulina, essiccata;290;7.72;23.9;57.47;3.6;3.1;4.68
Alghe di mare, agar;26;0.03;6.75;0.54;0.5;0.28;91.32
Alghe di mare, kelp;43;0.56;9.57;1.68;1.3;0.6;81.58
Alghe di mare, laver;35;0.28;5.11;5.81;0.3;0.49;85.03
Alghe di mare, musco di Irlanda;49;0.16;12.29;1.51;1.3;0.61;81.34
Alghe di mare, wakame;45;0.64;9.14;3.03;0.5;0.65;79.99
Alghe fucus;43;0.56;9.57;1.68;1.3;0.6;81.58
Ali di pollo arrosto;203;8.13;0;30.46;0;0;62.78
Ali di pollo, crude;126;3.54;0;21.97;0;0;74.95
Ali di tacchino;106;1.12;0;22.49;0;75.82;0.77
Ali di tacchino arrosto;163;3.44;0;30.85;0;0;65.6
Alici o acciughe;131;4.84;0;20.35;0;0;73.37
Alici o acciughe sott'olio;210;9.71;0;28.89;0;0;50.3
Aliotide;105;0.76;6.01;17.1;0;0;74.56
Alloro;313;8.36;74.97;7.61;26.3;5.44;3.62
Amaranto;371;7.02;65.25;13.56;6.7;1.69;11.29
Amarene;50;0.3;12.18;1;1.6;8.49;86.13
Amarene congelate, in barattolo, senza zucchero;46;0.44;11.02;0.92;1.6;9.02;87.2
Amarene in barattolo, con sciroppo;114;0.09;29.23;0.71;0.8;69.73;0.24
Amido di mais;381;0.05;91.27;0.26;0.9;0;8.32
Anacardi;553;43.85;30.19;18.22;3.3;5.91;5.2
Ananas;50;0.12;13.12;0.54;1.4;9.85;86
Ananas sciroppato;60;0.11;15.56;0.51;1.3;14.26;83.51
Anatra domestica;135;5.95;0.94;18.28;0;0;73.77
Anelli di cipolla fritti;332;18.69;37.74;4.46;37.09;2.03;88
Aneto;43;1.12;7.02;3.46;2.1;85.95;2.45
Aneto in polvere;253;4.36;55.82;19.96;13.6;7.3;12.56
Anguilla;184;11.66;0;18.44;0;0;68.26
Anguilla, cotta;236;14.95;0;23.65;0;59.31;1.8
Anona;75;0.68;17.71;1.57;3;12.87;79.39
Anona;66;0.3;16.84;1;3.3;13.54;81.16
Arachidi;567;49.24;16.13;25.8;8.5;3.97;6.5
Arachidi tostate;585;49.66;21.51;23.68;8;4.18;1.55
Aragosta;112;1.51;2.43;20.6;0;74.07;1.39
Aragosta;77;0.75;0;16.52;0;0;80.95
Aragosta, cotta;89;0.86;0;19;0;0;78.11
Aragosta, in umido;143;1.94;3.12;26.41;0;66.76;1.78
Arance;47;0.12;11.75;0.94;2.4;9.35;86.75
Arance, con la buccia;63;0.3;15.5;1.3;4.5;82.3;0.6
Aranciata;48;0;12.3;0;0;87.6;0.1
Aringa affumicata;217;12.37;0;24.58;0;0;59.7
Aringa americana;197;13.77;0;16.93;0;0;68.19
Aringa del Pacifico;195;13.88;0;16.39;0;71.52;2.37
Aringa dell'Atlantico;158;9.04;0;17.96;0;0;72.05
Aringa marinata;262;18;9.64;14.19;0;7.71;55.22
Aringa, cotta;203;11.59;0;23.03;0;0;64.16
Asparagi congelati;24;0.23;4.1;3.23;1.9;91.82;0.62
Asparagi congelati, bolliti senza sale;18;0.42;1.92;2.95;1.6;0.32;94.1
Asparagi di bosco;35;0.2;4;4.6;89.3;0;25
Asparagi di campo;20;0.12;3.88;2.2;2.1;1.88;93.22
Asparagi di serra;15;0.18;2.47;1.8;1;94.32;1.22
Asparagi in scatola, senza sale;15;0.18;2.48;1.8;1;1;94.32
Asparagi lessi;22;0.22;4.11;2.4;2;1.3;92.63
Asparagi, lessi, salati;22;0.22;4.11;2.4;2;1.3;92.63
Asparagi, surgelati, lessi e salati;18;0.42;1.92;2.95;1.6;0.32;94.1
Aspartame;365;0;89.08;2.17;0;80.7;8.75
Astice;77;0.95;0;15.97;0;0;82.24
Astice, cotto;82;1.2;0;16.77;0;0;79.37
Avocado;160;14.66;8.53;2;6.7;0.66;73.23
Avocado della california;167;15.41;8.64;1.96;6.8;0.3;72.33
Avocado della florida;120;10.06;7.82;2.23;5.6;2.42;78.81
Bacche di sambuco;73;0.5;18.4;0.66;7;79.8;0.64
Bagel;288;1.72;57.11;11.14;2.6;5.82;28.27
Baguette, pane francese;319;2.14;61.93;13;3.1;3.59;20.61
Bamboo;27;0.3;5.2;2.6;2.2;3;91
Bamboo bollito, senza sale;12;0.22;1.92;1.53;1;95.92;0.41
Banana chips;519;33.6;58.4;2.3;7.7;35.34;4.3
Banana cotta;116;0.18;31.15;0.79;2.3;14;67.3
Banana cruda;122;0.37;31.89;1.3;2.3;15;65.28
Banane;89;0.33;22.84;1.09;2.6;12.23;74.91
Banane, disidratate;346;1.81;88.28;3.89;9.9;47.3;3
Barbabietola;22;0.13;4.33;2.2;3.7;0.5;91.02
Barbabietole rosse;43;0.17;9.56;1.61;2.8;6.76;87.58
Barbabietole rosse, in scatola;28;0.07;6.57;0.8;1.2;5.38;91.62
Barbabietole rosse, lesse;27;0.2;5.46;2.57;2.9;0.6;89.13
Barbabietole rosse, lesse e salate;44;0.18;9.96;1.68;2;7.96;87.06
Barretta ai cereali con frutta, per l'infanzia;344;5.3;68.63;5.43;1.7;42;14
Barretta al caramello;462;21.19;63.81;6.19;1.2;56.92;6.79
Barretta al muesli;471;19.8;64.4;10.1;5.3;3.9;1.9
Barretta cioccolato al latte, dietetica;386;8.92;60.21;16.19;5.1;25;10.87
Barretta cioccolato e fibre;350;10;69.78;5;22.5;25;12.04
Barretta croccante al burro di arachidi;542;31.34;55.53;9.53;3.3;40.33;1.6
Barretta di latte e cereali;413;10.98;72.05;6.47;0.4;45.97;8.69
Barretta di riso e mais;409;9.09;72.73;9.09;1.8;31.8;7.5
Barretta di riso soffiato al cioccolato;404;13.5;73;5.1;2.2;7;1.3
Barretta frutta e cereali;377;7.5;72.9;4.4;2.1;35.1;14.5
Basilico;23;0.64;2.65;3.15;1.6;0.3;92.06
Basilico essiccato;233;4.07;47.75;22.98;37.7;1.71;10.35
Bel paese;377;30.2;1;25.4;0;38.9;0
Bevanda al malto;37;0.12;8.05;0.21;0;8.05;91.15
Bevanda al malto e cioccolato;411;4.76;86.94;5.1;4.8;66.67;1.3
Bevanda al riso;47;0.97;9.17;0.28;0.3;5.28;89.28
Bevanda alla cioccolata con siero di latte;49;0.4;10.68;0.64;0.6;8.68;87.63
Bevanda istantanea al cioccolato;357;1.4;66.2;19.9;0.4;65.8;7.4
Bevanda istantanea al cioccolato, senza zucchero;358;5.1;41;35.8;2;39;7.4
Bicarbonato di sodio;0;0;0;0;0;0;0.2
Bieta;19;0.2;3.74;1.8;1.6;1.1;92.66
Bieta, lessa;20;0.08;4.13;1.88;2.1;1.1;92.65
Big mac, McDonald's;257;14.96;20.08;11.82;1.6;3.97;51.3
Big tasty senza maionese, McDonald's;192;9.11;17.44;11.25;1.5;3.96;60.77
Big tasty, McDonald's;226;13.68;16.6;10.64;1.4;3.79;57.71
Birra;43;0;3.55;0.46;0;0;91.96
Birra, budweiser;41;0;2.97;0.36;0;92.77;0
Birra, light;29;0;1.64;0.24;0;0.09;94.88
Biscotti al burro;467;18.8;68.9;6.1;0.8;20.24;4.6
Biscotti al burro di arachidi;478;21.1;65.6;8.8;1.9;35.44;2.8
Biscotti al cacao farciti con crema;469;19.78;70.67;5.61;2.8;41.01;2.2
Biscotti al cioccolato;497;25.2;66.1;4.6;3;1.2;43
Biscotti al cocco;404;12.7;72.2;3.6;1.8;70.65;10.6
Biscotti alla frutta, per l'infanzia;435;12.6;73.7;6.8;3.4;24.2;5.7
Biscotti con la marmellata;342;16.3;38.75;11.85;0.7;1.97;28.4
Biscotti d'avena;450;18.1;68.7;6.2;2.8;24.66;5.7
Biscotti da forno, al burro;365;16.5;48.5;6.2;1.3;3.48;26.7
Biscotti della fortuna;378;2.7;84;4.2;1.6;45.42;8
Biscotti farciti con crema;483;20;72.1;4.5;1.5;39.3;2.2
Biscotti fatti in casa;353;16.3;44.6;7;1.5;2.18;28.9
Biscotti prima colazione;428;15.4;63.3;8;2.1;11.65;9.2
Biscotti secchi;446;13.8;74.1;6.9;1.1;13.93;3.9
Biscotti secchi, per l'infanzia;433;13.2;67.1;11.8;0.2;24.2;5.9
Biscotti, per l'infanzia;391;4.2;76.4;10.7;1.4;12.65;6.4
Bistecca di manzo alla griglia;193;7.68;0;28.87;0;0;63.33
Bistecca di manzo t-bone, cotta;280;19.47;0;24.33;0;0;54.57
Bistecca di manzo t-bone, cruda;220;15.32;0;19.19;0;0;63.48
Bistecca di manzo, cotta;155;7.17;0;21.22;0;0;70.73
Bistecca di vitello, cotta;228;13.96;0;23.96;0;59.91;1.05
Bistecca di vitello, cruda;162;9.01;0;18.86;0;71.15;0.97
Bocconcini di pollo;289;16.75;15.75;18.74;0.8;0;46.02
Bocconcini di pollo cotti;296;19.82;14.09;15.27;2.1;0;48.59
Bocconcini di pollo crudi;276;18.06;14.38;13.89;2.4;0;51.55
Bocconcini di pollo fritti;291;18.04;10.61;20.32;48.99;2.05;24
Bocconcini di squalo, frittura;228;13.82;6.39;18.62;0;60.09;1.25
Bombolone al cioccolato, zuccherato o glassato;417;19.9;57.4;4.5;2.2;31.92;16.3
Bombolone lievitato al miele, con glassa;399;19.1;50.64;6.21;2.1;19.52;22.6
Bombolone lievitato alla crema;361;24.5;30;6.4;0.8;14.55;38.2
Bombolone, senza ripieno, zuccherato o glassato;360;19.3;42.6;6.3;2.2;21.58;29.8
Borlotti, bolliti, senza sale;162;0.48;30.88;9.31;8.6;58.01;1.33
Borragine;21;0.7;3.06;1.8;93;1.44;93
Borragine, lessa;25;0.81;3.55;2.09;91.88;1.67;102
Borragine, lessa e salata;25;0.81;3.55;2.09;91.88;1.67;102
Bottatrice;90;0.81;0;19.31;0;79.26;1.16
Bottatrice, cotta;115;1.04;0;24.76;0;73.41;1.49
Branzino;97;2.33;0;17.73;0;79.22;1.04
Bresaola;153;1.94;2.76;31.1;0;2.7;53.8
Broccoletti di rapa;22;0.49;2.85;3.17;2.7;0.38;92.55
Broccoletti di rapa, cotti;33;0.52;3.12;3.83;2.8;0.62;91.41
Broccoli;34;0.37;6.64;2.82;2.6;1.7;89.3
Broccoli congelati;26;0.29;4.78;2.81;3;1.35;91.46
Broccoli, congelati, bolliti, con sale;28;0.11;5.36;3.1;3;1.47;90.72
Broccoli, congelati, bolliti, senza sale;28;0.11;5.36;3.1;3;1.47;90.72
Broccoli, lessi;35;0.41;7.18;2.38;3.3;1.39;89.25
Broccoli, lessi e salati;35;0.41;7.18;2.38;3.3;1.39;89.25
Brodo di pesce;16;0.6;0.4;2;0;0.09;96
Brownie;405;16.3;63.9;4.8;2.1;36.61;13.6
Buccia di arancia;97;0.2;25;1.5;10.6;72.5;0.8
Buccia di limone;47;0.3;16;1.5;10.6;4.17;81.6
Buccia di patata;58;0.1;12.44;2.57;2.5;83.29;1.61
Budino al cioccolato;356;2.4;78.2;5.3;6.1;0.7;4.2
Budino al cocco;389;2.3;91.2;0.9;4;64;2.2
Budino al limone;109;1.12;24.2;0.65;0;13.51;73.62
Budino alla banana;367;0.6;92.7;0;0;76.57;2.8
Budino alla vaniglia;377;0.6;92.9;0;0;92.9;2.6
Budino di riso;376;0.1;91.2;2.7;0.7;4.8;1.1
Bulgur, cotto;83;0.24;18.58;3.08;4.5;0.1;77.76
Bulgur, crudo;342;1.33;75.87;12.29;18.3;0.41;9
Burrito carne e fagioli, dolce, surgelato;239;9.61;30.84;7.26;4.2;3.53;50.48
Burrito con carne e chili piccante;212;8.23;24.6;10.7;54.45;2.02;43
Burrito con carne, formaggio e chili piccante;208;8.15;20.96;13.46;55.19;2.24;73
Burrito con fagioli;206;6.22;32.92;6.48;52.53;1.85;52
Burrito con fagioli e carne;220;7.71;28.58;9.73;51.89;2.09;46
Burrito con fagioli e chili;202;7.19;28.47;8.03;54.37;1.94;49
Burrito con fagioli e formaggio;203;6.29;29.55;8.1;53.91;2.15;115
Burrito, fagioli e carne, cotto al microonde;298;11.94;38.95;8.73;6.9;1.36;38.14
Burrito, fagioli e carne, surgelato;239;9.61;30.84;7.26;4.2;3.53;50.48
Burrito, fagioli e formaggio, cotto al microonde;260;7.17;40.37;8.6;10.4;1.37;41.77
Burrito, fagioli e formaggio, surgelato;211;5.94;32.4;6.92;10.2;1.41;53.05
Burro;717;81.11;0.06;0.85;0;0.06;15.87
Burro d'arachidi;589;49.94;21.57;24.06;8;8.41;1.14
Burro di anacardio, non salato;587;49.41;27.57;17.56;2;2.96;2.5
Burro di anacardio, salato;587;49.41;27.57;17.56;2;5.01;2.96
Burro di cacao;884;100;0;0;0;0;0
Burro di mandorle, non salato;614;55.5;18.82;20.96;10.3;4.43;1.64
Burro di mandorle, non salato;614;55.5;18.82;20.96;10.3;4.43;1.64
Burro di mandorle, salato;614;55.5;18.82;20.96;10.3;4.43;1.64
Burro di mandorle, salato;614;55.5;18.82;20.96;10.3;4.43;1.64
Burro light, con sale aggiunto;509;55.1;0;3.3;0;0;42.1
Burro light, senza sale aggiunto;499;55.1;0;3.3;0;0;43.2
Burro senza sale;717;81.11;0.06;0.85;0;0.06;17.94
Cacao amaro;228;13.7;57.9;19.6;33.2;1.75;3
Cachi;70;0.19;18.59;0.58;3.6;12.53;80.32
Caciocavallo;439;31.1;2.3;37.7;0;30;0
Caciotta di pecora;364;29.84;2.54;21.58;0;2.54;45.52
Caciotta fresca;253;22.78;3.59;9.15;0;3.19;63.11
Caciotta toscana;368;29.6;0.8;24.6;0;42.8;0
Caesar salad pollo alla piastra, McDonald's;71;2.04;3.67;9.82;1.1;1.61;82.95
Caesar salad pollo croccante, McDonald's;104;5.31;6.2;8.32;1.1;1.47;78.77
Caffe istantaneo in polvere;241;0.5;41.1;12.2;0;0;3.1
Caffe istantaneo in polvere, decaffeinato;224;0.2;42.6;11.6;0;0;3.2
Caffe istantaneo in polvere, decaffeinato, preparato con acqua;2;0;0.43;0.12;0;0;98.93
Caffe istantaneo in polvere, preparato con acqua;2;0;0.34;0.1;0;0;99.09
Caffe moka in tazza;1;0.02;0;0.12;0;0;99.39
Caffe, espresso;2;0.18;0;0.12;0;0;97.8
Calamaro;92;1.38;3.08;15.58;0;0;78.55
Calamaro, cotto;175;7.48;7.79;17.94;0;64.54;1.59
Canditi;322;0.07;82.74;0.34;1.6;80.68;16.7
Cannella, macinata;247;1.24;80.59;3.99;53.1;2.17;10.58
Capasanta;69;0.49;3.18;12.06;0;0;82.53
Capasanta, cotta;111;0.84;5.41;20.54;0;0;70.25
Capocollo di suino;166;8.33;0;21.34;0;0;70.14
Capperi;23;0.86;4.89;2.36;3.2;0.41;83.85
Capperi in scatola;23;0.86;4.89;2.36;3.2;0.41;83.85
Cappone di pollo con pelle;234;17.07;0;18.77;0;0;63.24
Cappone di pollo, arrosto;226;11.67;0.04;28.35;0;59.25;1.01
Cappone di pollo, bollito;164;5.4;0.76;26.39;0;66.54;0.91
Cappone di pollo, crudo;232;16.9;0.08;18.51;0;63.66;0.94
Cappuccino istantaneo in polvere, zuccherato;406;5.56;85.94;3.1;1.2;69.16;1.3
Capretto, carne cruda;109;2.31;0;20.6;0;75.84;1.11
Carambola;31;0.33;6.73;1.04;2.8;3.98;91.38
Caramella con burro e zucchero;391;3.3;90.4;0.03;0;80.46;5.25
Caramelle;394;0.2;98;0;0;62.9;1.3
Caramelle alla frutta;375;0.05;93.55;0;0.2;70;6.3
Caramelle di gelatina con zucchero;396;0;98.9;0;0.1;58.97;1
Caramelle dietetiche;394;0;98.6;0;0;93;1.4
Caramelle dure;382;8.1;77;4.6;0;65.5;8.5
Carciofi;47;0.15;10.51;3.27;5.4;0.99;84.94
Carciofi bolliti, senza sale;53;0.34;11.95;2.89;8.6;0.99;84.08
Carciofi congelati;38;0.43;7.76;2.63;3.9;88.59;0.6
Carciofi congelati, bolliti, senza sale;45;0.5;9.18;3.11;4.6;0.84;86.5
Carciofi, lessi, salati;53;0.34;11.95;2.89;8.6;0.99;84.08
Carciofi, surgelati, lessi e salati;45;0.5;9.18;3.11;4.6;0.84;86.5
Cardamomo;311;6.7;68.47;10.76;28;8.28;5.78
Cardi;17;0.1;4.07;0.7;1.6;94;1.13
Cardi, lessi;22;0.11;5.33;0.76;1.7;93.46;0.34
Carne d'oca arrosto;238;12.67;0;28.97;0;57.23;1.14
Carne d'oca, con pelle arrosto;305;21.92;0;25.16;0;0;51.95
Carne d'oca, cruda;161;7.13;0;22.75;0;68.3;1.1
Carne di alce, cruda;103;1.5;0;22.3;0;0;74.79
Carne di alce, macinata;97;1.8;0;20.14;0;0;75.68
Carne di alce, pasticcio;143;2.8;0;29.45;0;67.78;0
Carne di anatra;84;0.4;0;20.2;79;0.4;8
Carne di anatra, arrosto;337;28.35;0;18.99;0;0;51.84
Carne di anatra, cruda;136;4.64;3.53;18.74;0;71.78;1.32
Carne di antilope, cruda;114;2.03;0;22.38;0;74.08;1.1
Carne di bisonte, cruda;223;15.93;0;18.67;0;0;64.25
Carne di bisonte, magra, cruda;109;1.84;0;21.62;0;74.57;1.2
Carne di bufalo, cruda;99;1.37;0;20.39;0;76.3;1.05
Carne di capretto, arrosto;143;3.03;0;27.1;0;0;68.21
Carne di capriolo;111;2.66;0;21.5;75;0.64;7
Carne di caribù, cotta (Alaska);159;4.82;0;28.81;0;0;65.47
Carne di caribù, cruda (Alaska);122;3.37;0;22.63;0;0;72.6
Carne di caribù, midollo (Alaska);786;84.4;0;6.7;7.4;1.5;107
Carne di cavallo, arrosto;175;6.05;0;28.14;0;63.98;1.31
Carne di cinghiale, arrosto;160;4.38;0;28.3;0;0;63.87
Carne di cinghiale, cruda;122;3.33;0;21.51;0;72.54;0.97
Carne di coregone;371;13.44;0;62.44;0;0;20.59
Carne di fagiano, cotta;239;12.1;0;32.4;0;0;54.2
Carne di fagiano, cruda (solo carne);133;3.64;0;23.57;0;72.77;1.35
Carne di leone marino, cuore;102;3.3;1;17;76.2;1;5
Carne di leone marino, interiora;93;1.7;1.4;18.1;77.4;1.4;9
Carne di manzo adulto semigrassa, cruda;214;14.28;0;19.92;0;0;64.87
Carne di manzo e verdure, per l'infanzia;77;3.6;8.84;2.21;1.3;2.34;84.94
Carne di manzo esiccata;153;1.94;2.76;31.1;0;2.7;53.8
Carne di manzo in gelatina, in scatola;111;3.3;0;19;0;74.6;3.4
Carne di manzo macinata, magra, cotta;232;14.02;0;24.62;0;0;60.61
Carne di manzo macinata, magra, cruda;215;15;0;18.59;0;0;65.72
Carne di manzo macinata, semigrassa, cotta;238;15.54;0;22.86;0;0;59.36
Carne di manzo macinata, semigrassa, cruda;293;25;0;15.76;0;0;58.16
Carne di manzo sotto sale, in scatola;250;14.93;0;27.1;0;0;57.72
Carne di manzo, semigrassa, cotta;241;15.37;0;23.87;0;0;58.37
Carne di manzo, semigrassa, cruda;332;30;0;14.35;0;0;54.38
Carne di montone, arrosto;234;11.09;0.08;33.43;54;1.41;10
Carne di orso bruno (Alaska);155;8.3;0;20.1;71.2;0.4;162
Carne di orso polare (Alaska);130;3.1;0;25.6;70.3;1;17
Carne di orso, cruda;161;8.3;0;20.1;0;71.2;0.7
Carne di piccione cotta;213;13;0;23.9;0;0;62
Carne di polipo;56;0.8;0;12.3;84;1.5;35
Carne di pollo e verdure, per l'infanzia;53;1.12;8.66;2.04;1.1;1.46;87.76
Carne di pollo macinata, cruda;143;8.1;0.04;17.44;0;0;73.24
Carne di pollo, crema da spalmare;158;17.56;4.05;18.01;0.3;0.47;57.41
Carne di prosciutto da spalmare;239;18.83;0.26;16.06;0;0;60.77
Carne di scoiattolo, macinato;111;3.8;0;19.3;75.4;1.5;175
Carne di struzzo, cotta;117;2.65;0;21.81;0;0;75.93
Carne di struzzo, cruda;117;2.65;0;21.81;0;0;75.93
Carne di tacchino;104;1.66;4.21;17.07;0.5;3.51;74.07
Carne di tacchino e salsa di suino;307;23;0.7;22.7;0;0;50.9
Carne di tacchino e verdure, per l'infanzia;48;0.9;7.62;2.32;1.5;1.54;88.82
Carne di tricheco, cruda;199;13.6;0;19.2;65.1;2.1;18
Carne di tricheco, interiora;125;3;3.5;21;71.5;1;208
Carne macinata di maiale;263;21.19;0;16.88;0;61.06;0.87
Carne macinata di maiale, cotta;297;20.77;0;25.69;0;0;52.75
Carne macinata di struzzo, cruda;165;8.7;0;20.22;0;0;71.07
Carote;41;0.24;9.58;0.93;2.8;4.74;88.29
Carote disidratate;341;1.49;79.57;8.1;23.6;38.82;4
Carote, lesse;35;0.18;8.22;0.76;3;3.45;90.17
Carote, surgelate;36;0.46;7.9;0.78;3.3;4.76;90.04
Carote, surgelate, lesse;37;0.68;7.73;0.58;3.3;4.08;90.32
Carpa;127;5.6;0;17.83;0;0;76.31
Carpa, cotta;162;7.17;0;22.86;0;69.63;1.87
Carruba dolce, senza zucchero;540;31.36;56.29;8.15;3.8;34.11;1.54
Castagne;213;2.26;45.54;2.42;8.1;48.65;1.13
Castagne secche;374;4.45;77.31;6.39;11.7;9.45;2.4
Castagne secche, sbucciate;369;3.91;78.43;5.01;9;3.64;64
Castagne, arrosto;245;2.2;52.96;3.17;5.1;10.6;40.48
Castagne, lesse o al vapore;131;1.38;27.76;2;68.15;0.71;46
Castagne, sbucciate;196;1.25;44.17;1.63;52;0.96;19
Cavallo, carne cruda;133;4.6;0;21.39;0;72.63;0.99
Caviale;264;17.9;4;24.6;0;0;47.5
Cavoletti di bruxelles;43;0.3;8.95;3.38;3.8;2.2;86
Cavoletti di bruxelles, cotti;36;0.5;7.1;2.55;2.6;1.74;88.9
Cavoletti di bruxelles, lessi e salati;36;0.5;7.1;2.55;2.6;1.74;88.9
Cavoletti di bruxelles, surgelati;41;0.41;7.86;3.78;3.8;87.07;0.88
Cavoletti di bruxelles, surgelati, lessi;42;0.39;8.32;3.64;4.1;2.08;86.74
Cavolfiore;25;0.28;4.97;1.92;2;1.91;92.07
Cavolfiore, lesso;23;0.45;4.11;1.84;2.3;2.08;93
Cavolfiore, lesso e salato;23;0.45;4.11;1.84;2.3;1.86;93
Cavolfiore, surgelato;24;0.27;4.68;2.01;2.3;2.22;92.51
Cavolfiore, surgelato, lesso;19;0.22;3.75;1.61;2.7;1.05;94
Cavolo cappuccio rosso;31;0.16;7.37;1.43;2.1;3.83;90.39
Cavolo cappuccio rosso, lesso;29;0.09;6.94;1.51;2.6;3.32;90.84
Cavolo cappuccio verde;25;0.1;5.8;1.28;2.5;3.2;92.18
Cavolo cappuccio verde, lesso;23;0.06;5.51;1.27;1.9;2.79;92.57
